sat12,val12,val14,sat14
0.21907629484131086,0.09043536131500052,0.0852598538636006,0.24072863079943005
0.17062635686963715,0.1009607929287708,0.08826251941227949,0.15499344618190614
0.1388239170888039,0.10502386367552294,0.09004290107884791,0.13302694858221722
0.11515461852579345,0.10705162996657362,0.09374412977440255,0.1153714606509138
0.09578261225404046,0.10934484734139702,0.09864166634126645,0.09691300146722456
0.07722795840656121,0.10663891545194527,0.10234390316143173,0.07837936979173422
0.06280960319101278,0.10079468408628829,0.10355906296296022,0.06255947515150936
0.04994007159102657,0.09154643294048727,0.10242505719258937,0.04741704024964391
0.03851409852165823,0.08160736284847858,0.09841510713709883,0.0356944664644996
0.03204446871015541,0.10659610944553569,0.13730579907552284,0.03491616066092112
